state,x,y
Andhra Pradesh,-86.0,-197.0
Arunachal Pradesh,300.0,173.0
Assam,251.0,109.0
Bihar,82.0,83.0
Chhattisgarh,-7.0,-23.0
Goa,-210.0,-186.0
Gujarat,-268.0,10.0
Haryana,-138.0,172.0
Himachal Pradesh,-119.0,248.0
Jharkhand,67.0,26.0
Karnataka,-166.0,-210.0
Kerala,-151.0,-323.0
Madhya Pradesh,-102.0,17.0
Maharashtra,-168.0,-80.0
Manipur,280.0,71.0
Meghalaya,212.0,85.0
Mizoram,258.0,34.0
Nagaland,295.0,112.0
Odisha,59.0,-46.0
Punjab,-161.0,221.0
Rajasthan,-209.0,120.0
Sikkim,146.0,137.0
Tamil Nadu,-100.0,-313.0
Telangana,-82.0,-124.0
Tripura,226.0,42.0
Uttar Pradesh,-39.0,117.0
Uttarakhand,-73.0,199.0
West Bengal,136.0,17.0
