state,x,y
Andhra Pradesh,-77.0,-203.0
Arunachal Pradesh,301.0,179.0
Assam,250.0,113.0
Bihar,77.0,87.0
Chhattisgarh,-3.0,-17.0
Goa,-210.0,-186.0
Gujarat,-254.0,28.0
Haryana,-142.0,177.0
Himachal Pradesh,-120.0,250.0
Jharkhand,65.0,27.0
Karnataka,-172.0,-202.0
Kerala,-150.0,-319.0
Madhya Pradesh,-103.0,24.0
Maharashtra,-179.0,-77.0
Manipur,280.0,71.0
Meghalaya,203.0,91.0
Mizoram,258.0,36.0
Nagaland,296.0,115.0
Odisha,52.0,-43.0
Punjab,-162.0,223.0
Rajasthan,-215.0,117.0
Sikkim,145.0,139.0
Tamil Nadu,-101.0,-303.0
Telangana,-85.0,-121.0
Tripura,228.0,42.0
Uttar Pradesh,-47.0,124.0
Uttarakhand,-82.0,208.0
West Bengal,130.0,23.0
Andaman and Nicobar Islands,251.0,-257.0
Chandigarh,-135.0,222.0
Dadra and Nagar Haveli and Daman and Diu,-226.0,-54.0
Delhi,-124.0,163.0
Jammu and Kashmir,-177.0,301.0
Ladakh,-116.0,326.0
Lakshadweep,-242.0,-325.0
Puducherry,-63.0,-295.0
